"UPH_SG","UPH_NM","UPH_CD","area_m","FASE","area_mine","percent_mine"
"DOCE 01","PIRANGA",501,17571415370.5303,"AUTORIZAÇÃO DE PESQUISA",5211096582.86182,0.297
"DOCE 01","PIRANGA",501,17571415370.5303,"CONCESSÃO DE LAVRA",193384673.462769,0.011
"DOCE 01","PIRANGA",501,17571415370.5303,"DIREITO DE REQUERER A LAVRA",56916299.1612549,0.003
"DOCE 01","PIRANGA",501,17571415370.5303,"DISPONIBILIDADE",1126413522.28528,0.064
"DOCE 01","PIRANGA",501,17571415370.5303,"LAVRA GARIMPEIRA",1341419.4296875,0
"DOCE 01","PIRANGA",501,17571415370.5303,"LICENCIAMENTO",28159018.4984131,0.002
"DOCE 01","PIRANGA",501,17571415370.5303,"REGISTRO DE EXTRAÇÃO",325030.485351562,0
"DOCE 01","PIRANGA",501,17571415370.5303,"REQUERIMENTO DE LAVRA",502399398.303589,0.029
"DOCE 01","PIRANGA",501,17571415370.5303,"REQUERIMENTO DE LAVRA GARIMPEIRA",9935662.63134766,0.001
"DOCE 01","PIRANGA",501,17571415370.5303,"REQUERIMENTO DE LICENCIAMENTO",19709800.2674561,0.001
"DOCE 01","PIRANGA",501,17571415370.5303,"REQUERIMENTO DE PESQUISA",2301515439.60059,0.131
"DOCE 01","PIRANGA",501,17571415370.5303,"REQUERIMENTO DE REGISTRO DE EXTRAÇÃO",196217.439819336,0
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"AUTORIZAÇÃO DE PESQUISA",2568792995.26392,0.452
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"CONCESSÃO DE LAVRA",429833677.763794,0.076
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"DIREITO DE REQUERER A LAVRA",29919415.9091797,0.005
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"DISPONIBILIDADE",493815768.351929,0.087
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"LAVRA GARIMPEIRA",5436094.14648438,0.001
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"LICENCIAMENTO",6454903.47912598,0.001
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"REGISTRO DE EXTRAÇÃO",198941.788818359,0
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"REQUERIMENTO DE LAVRA",418865776.744507,0.074
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"REQUERIMENTO DE LAVRA GARIMPEIRA",40155635.6115723,0.007
