"UPH_SG","UPH_NM","UPH_CD","area_m","SUBS","area_mine","percent_mine"
"DOCE 01","PIRANGA",501,17571415370.5303,"ÁGUA MARINHA",38253741.5164795,0.002
"DOCE 01","PIRANGA",501,17571415370.5303,"ÁGUA MINERAL",3685554.56848145,0
"DOCE 01","PIRANGA",501,17571415370.5303,"ALUMÍNIO",60202.3569335938,0
"DOCE 01","PIRANGA",501,17571415370.5303,"AMETISTA",1748976.02734375,0
"DOCE 01","PIRANGA",501,17571415370.5303,"AMIANTO",10000106.644043,0.001
"DOCE 01","PIRANGA",501,17571415370.5303,"AREIA",191775011.968018,0.011
"DOCE 01","PIRANGA",501,17571415370.5303,"AREIA DE FUNDIÇÃO",500005.43359375,0
"DOCE 01","PIRANGA",501,17571415370.5303,"AREIA INDUSTRIAL",490705.317382812,0
"DOCE 01","PIRANGA",501,17571415370.5303,"AREIA QUARTZOSA",62500.6650390625,0
"DOCE 01","PIRANGA",501,17571415370.5303,"ARGILA",9750140.97302246,0.001
"DOCE 01","PIRANGA",501,17571415370.5303,"ARSÊNIO",12229560.4462891,0.001
"DOCE 01","PIRANGA",501,17571415370.5303,"BAUXITA",1424547900.7793,0.081
"DOCE 01","PIRANGA",501,17571415370.5303,"BERILO",14016009.3432617,0.001
"DOCE 01","PIRANGA",501,17571415370.5303,"CALCÁRIO",9986480.1817627,0.001
"DOCE 01","PIRANGA",501,17571415370.5303,"CALCÁRIO CALCÍTICO",527167.860351562,0
"DOCE 01","PIRANGA",501,17571415370.5303,"CALCÁRIO DOLOMÍTICO",309703.407714844,0
"DOCE 01","PIRANGA",501,17571415370.5303,"CASCALHO",11000430.1242676,0.001
"DOCE 01","PIRANGA",501,17571415370.5303,"CAULIM",199333250.829956,0.011
"DOCE 01","PIRANGA",501,17571415370.5303,"CHARNOQUITO",9466357.37280273,0.001
"DOCE 01","PIRANGA",501,17571415370.5303,"DADO NÃO CADASTRADO",153059490.215698,0.009
"DOCE 01","PIRANGA",501,17571415370.5303,"DIAMANTE",184618251.3479,0.011
"DOCE 01","PIRANGA",501,17571415370.5303,"DIORITO",20000281.4810791,0.001
"DOCE 01","PIRANGA",501,17571415370.5303,"DOLOMITO",202545.344116211,0
"DOCE 01","PIRANGA",501,17571415370.5303,"ESTANHO",19706971.8942871,0.001
"DOCE 01","PIRANGA",501,17571415370.5303,"ESTEATITO",449669902.780518,0.026
"DOCE 01","PIRANGA",501,17571415370.5303,"FELDSPATO",22742991.3526611,0.001
"DOCE 01","PIRANGA",501,17571415370.5303,"FERRO",77754546.2189941,0.004
"DOCE 01","PIRANGA",501,17571415370.5303,"FERRO MANGANÊS",10002799.3427734,0.001
"DOCE 01","PIRANGA",501,17571415370.5303,"FILITO",12363430.2553711,0.001
"DOCE 01","PIRANGA",501,17571415370.5303,"FOSFATO",19805875.8708496,0.001
"DOCE 01","PIRANGA",501,17571415370.5303,"GEMA",3853789.11938477,0
"DOCE 01","PIRANGA",501,17571415370.5303,"GNAISSE",45703502.8614502,0.003
